Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
168,Lucas Giolito\giolilu01,26,CHW,AL,1,2,.333,5.68,5,5,0,0,0,0,25.1,22,17,16,5,10,0,33,0,0,1,109,71,4.22,1.263,7.8,1.8,3.6,11.7,3.30
169,Mychal Givens\givenmy01,31,COL,NL,1,1,.500,2.70,10,0,3,0,0,0,10.0,8,3,3,2,2,1,11,1,0,1,39,174,4.38,1.000,7.2,1.8,1.8,9.9,5.50
170,Tyler Glasnow\glasnty01,27,TBR,AL,2,1,.667,2.05,5,5,0,0,0,0,30.2,14,7,7,2,9,0,46,0,0,3,116,183,1.81,0.750,4.1,0.6,2.6,13.5,5.11
171,Austin Gomber*\gombeau01,27,COL,NL,1,3,.250,6.65,5,5,0,0,0,0,23.0,17,19,17,2,19,2,23,0,0,1,103,69,4.69,1.565,6.7,0.8,7.4,9.0,1.21
172,Marco Gonzales*\gonzama02,29,SEA,AL,1,3,.250,5.40,5,5,0,0,0,0,28.1,27,17,17,6,11,1,23,1,0,0,121,73,5.48,1.341,8.6,1.9,3.5,7.3,2.09
173,Chi Chi Gonzalez\gonzach01,29,COL,NL,1,0,1.000,3.60,5,3,0,0,0,0,20.0,22,8,8,1,7,0,12,0,0,1,84,128,3.58,1.450,9.9,0.5,3.2,5.4,1.71
174,Victor Gonzalez*\gonzavi02,25,LAD,NL,0,0,,2.57,10,0,2,0,0,1,7.0,5,2,2,0,5,0,6,0,0,1,31,153,3.51,1.429,6.4,0.0,6.4,7.7,1.20
175,Brusdar Graterol\gratebr01,22,LAD,NL,0,0,,20.25,3,0,0,0,0,0,1.1,3,3,3,0,2,0,1,0,0,0,9,24,6.08,3.750,20.3,0.0,13.5,6.8,0.50
176,Kendall Graveman\graveke01,30,SEA,AL,1,0,1.000,0.00,8,0,2,0,0,2,9.2,1,0,0,0,2,0,11,1,0,0,32,,1.73,0.310,0.9,0.0,1.9,10.2,5.50
177,Jon Gray\grayjo02,29,COL,NL,3,1,.750,2.54,5,5,0,0,0,0,28.1,18,8,8,3,13,0,27,0,0,0,115,181,3.93,1.094,5.7,1.0,4.1,8.6,2.08
178,Sonny Gray\grayso01,31,CIN,NL,0,1,.000,7.88,2,2,0,0,0,0,8.0,12,7,7,2,5,1,12,0,0,0,41,59,5.20,2.125,13.5,2.3,5.6,13.5,2.40
179,Chad Green\greench03,30,NYY,AL,0,2,.000,0.68,11,0,3,0,0,1,13.1,7,3,1,1,2,0,10,0,0,0,45,586,3.00,0.675,4.7,0.7,1.4,6.8,5.00
180,Zack Greinke\greinza01,37,HOU,AL,2,1,.667,2.76,5,5,0,0,0,0,32.2,32,10,10,4,4,0,22,0,0,2,128,148,3.69,1.102,8.8,1.1,1.1,6.1,5.50
181,Robert Gsellman\gsellro01,27,NYM,NL,0,0,,3.38,4,0,0,0,0,0,5.1,5,4,2,0,2,0,4,0,0,0,23,120,2.70,1.313,8.4,0.0,3.4,6.8,2.00
182,Reymin Guduan*\guduare01,29,OAK,AL,0,0,,19.64,4,0,3,0,0,0,3.2,10,8,8,0,3,0,1,0,0,4,24,21,4.99,3.545,24.5,0.0,7.4,2.5,0.33
183,Deolis Guerra\guerrde01,32,OAK,AL,1,0,1.000,3.38,6,0,3,0,0,0,8.0,5,6,3,2,4,0,9,0,0,0,33,116,5.58,1.125,5.6,2.3,4.5,10.1,2.25
184,Junior Guerra\guerrju02,36,LAA,AL,2,0,1.000,4.40,8,0,2,0,0,0,14.1,11,8,7,1,5,0,12,0,1,4,61,99,3.36,1.116,6.9,0.6,3.1,7.5,2.40
185,Luis Guillorme\guilllu01,26,NYM,NL,0,0,,18.00,1,0,1,0,0,0,1.0,3,2,2,0,1,0,0,0,0,0,7,29,6.08,4.000,27.0,0.0,9.0,0.0,0.00
186,Josh Hader*\haderjo01,27,MIL,NL,2,0,1.000,0.00,8,0,6,0,0,5,7.2,1,0,0,0,4,0,14,0,0,3,28,,0.99,0.652,1.2,0.0,4.7,16.4,3.50
187,Jesse Hahn\hahnje01,31,KCR,AL,0,0,,13.50,5,0,1,0,0,1,3.1,5,5,5,2,4,0,3,1,0,1,19,36,13.58,2.700,13.5,5.4,10.8,8.1,0.75
188,David Hale\haleda02,33,PHI,NL,0,0,,5.23,6,0,2,0,0,0,10.1,8,6,6,3,4,0,8,0,0,0,42,77,6.47,1.161,7.0,2.6,3.5,7.0,2.00
189,Brad Hand*\handbr01,31,WSN,NL,1,0,1.000,0.00,6,0,6,0,0,3,6.0,3,0,0,0,2,0,5,2,0,0,24,,3.41,0.833,4.5,0.0,3.0,7.5,2.50
190,J.A. Happ*\happja01,38,MIN,AL,1,0,1.000,1.69,3,3,0,0,0,0,16.0,8,3,3,1,6,0,10,0,0,0,61,231,3.77,0.875,4.5,0.6,3.4,5.6,1.67
191,Ryne Harper\harpery01,32,WSN,NL,0,0,,3.00,2,0,0,0,0,0,3.0,2,1,1,0,1,0,2,0,0,0,12,146,2.74,1.000,6.0,0.0,3.0,6.0,2.00
192,Matt Harvey\harvema01,32,BAL,AL,2,1,.667,4.26,5,5,0,0,0,0,25.1,27,12,12,2,6,0,21,1,0,0,110,99,3.28,1.303,9.6,0.7,2.1,7.5,3.50
193,Louis Head\headlo01,31,TBR,AL,0,0,,0.00,2,0,0,0,0,0,3.0,1,0,0,0,1,0,1,0,0,0,10,,3.41,0.667,3.0,0.0,3.0,3.0,1.00
194,Andrew Heaney*\heanean01,30,LAA,AL,1,1,.500,4.35,4,4,0,0,0,0,20.2,12,10,10,1,7,0,29,1,0,1,79,99,2.06,0.919,5.2,0.4,3.0,12.6,4.14
195,Taylor Hearn*\hearnta01,26,TEX,AL,0,1,.000,6.94,8,0,2,0,0,0,11.2,13,9,9,4,9,0,17,0,0,2,57,62,6.94,1.886,10.0,3.1,6.9,13.1,1.89
