"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Austin Slater","SFG","14","46","53","11","7","1","1","2","4","6","7","0","18","0","0","0","0","2","0",".239","16153"
"Kyle Seager","SEA","17","63","70","15","9","4","0","2","4","12","5","0","16","1","1","0","0","1","0",".238","9785"
"Garrett Hampson","COL","15","55","63","13","9","3","0","1","12","7","6","0","17","0","2","0","0","4","1",".236","19262"
"Wilson Ramos","DET","14","51","57","12","5","1","0","6","7","8","4","0","15","0","0","0","1","0","0",".235","1433"
"Chris Taylor","LAD","15","51","63","12","6","3","0","3","12","9","9","0","19","3","0","0","0","1","0",".235","13757"
"Franmil Reyes","CLE","14","51","55","12","5","3","0","4","7","8","2","0","17","1","1","0","3","0","0",".235","14566"
"Ramon Laureano","OAK","13","51","57","12","7","2","2","1","10","6","4","0","13","2","0","0","0","8","1",".235","17128"
"Max Kepler","MIN","14","47","54","11","6","4","1","0","5","8","5","1","12","1","1","0","0","3","0",".234","12144"
"Freddie Freeman","ATL","16","56","71","13","6","2","0","5","10","10","14","2","6","1","0","0","0","1","0",".232","5361"
"Jose Ramirez","CLE","15","56","63","13","8","1","0","4","6","8","6","1","8","0","1","0","2","3","0",".232","13510"
"Carlos Santana","KCR","15","52","63","12","7","3","0","2","6","9","10","0","11","0","1","0","0","0","0",".231","2396"
"Marcell Ozuna","ATL","16","61","70","14","13","0","0","1","5","8","9","0","22","0","0","0","0","0","0",".230","10324"
"Dominic Smith","NYM","11","35","38","8","5","1","0","2","2","6","2","0","13","0","1","0","0","0","0",".229","15653"
"Alec Bohm","PHI","16","57","64","13","10","2","0","1","6","8","4","0","18","0","3","0","2","2","0",".228","21618"
"Justin Upton","LAA","12","44","50","10","5","2","0","3","8","10","4","0","14","1","1","0","2","0","0",".227","5222"
"Victor Robles","WSN","14","44","53","10","9","0","1","0","4","1","6","0","13","3","0","0","0","1","1",".227","18363"
"Travis d'Arnaud","ATL","15","53","56","12","7","3","0","2","4","9","2","0","16","0","1","0","2","0","0",".226","7739"
"Adam Duvall","MIA","15","49","52","11","3","3","1","4","8","11","3","0","18","0","0","0","1","0","0",".224","10950"
"Joey Gallo","TEX","16","49","68","11","10","0","0","1","7","5","16","1","20","3","0","0","1","2","0",".224","14128"
"Robbie Grossman","DET","15","50","65","11","8","2","0","1","5","4","13","1","16","2","0","0","0","2","0",".220","5254"
"David Dahl","TEX","15","60","63","13","9","3","0","1","8","5","1","0","19","0","1","1","0","0","0",".217","13744"
"Myles Straw","HOU","15","51","57","11","11","0","0","0","4","5","5","0","8","0","1","0","2","3","1",".216","17620"
"Javier Baez","CHC","15","56","60","12","6","2","0","4","6","12","1","0","27","3","0","0","0","5","0",".214","12979"
"Jackie Bradley Jr.","MIL","15","56","59","12","7","2","2","1","8","2","0","0","21","3","0","0","0","1","0",".214","12984"
"Willi Castro","DET","15","61","64","13","10","1","2","0","4","3","3","0","16","0","0","0","1","0","0",".213","17338"
"Austin Riley","ATL","16","47","56","10","10","0","0","0","6","1","4","1","13","4","1","0","1","0","0",".213","18360"
"Marwin Gonzalez","BOS","14","43","55","9","8","0","0","1","8","4","8","0","12","3","1","0","1","2","0",".209","5497"
"Garrett Cooper","MIA","14","43","49","9","6","2","0","1","4","7","4","0","17","2","0","0","0","0","0",".209","15279"
"Asdrubal Cabrera","ARI","14","48","58","10","5","3","0","2","7","9","9","0","6","0","1","0","0","0","0",".208","4962"
"Willy Adames","TBR","17","54","56","11","6","3","0","2","6","4","2","0","18","0","0","0","0","1","1",".204","15986"
"Andrew Benintendi","KCR","14","54","59","11","8","3","0","0","6","4","5","0","16","0","0","0","2","3","2",".204","17901"
"Dansby Swanson","ATL","16","59","67","12","7","4","0","1","3","4","6","0","19","2","0","0","2","0","1",".203","18314"
"Isiah Kiner-Falefa","TEX","17","69","74","14","10","2","0","2","9","7","2","0","14","2","0","1","0","2","0",".203","16512"
"David Peralta","ARI","15","55","60","11","6","2","2","1","6","7","5","1","10","0","0","0","2","0","0",".200","2136"
"Michael Conforto","NYM","11","35","42","7","5","2","0","0","2","3","3","0","10","4","0","0","1","0","0",".200","16376"
"Yoan Moncada","CHW","15","55","66","11","9","1","0","1","6","7","7","0","19","3","1","0","1","0","0",".200","17232"
"Jason Heyward","CHC","15","51","54","10","6","3","0","1","3","2","3","0","16","0","0","0","0","0","0",".196","4940"
