"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Phillip Evans","PIT","1","3","5","1","1","0","0","0","1","1","2","0","0","0","0","0","0","0","0",".333","12950"
"Jackie Bradley Jr.","MIL","1","3","3","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".333","12984"
"Jose Ramirez","CLE","1","3","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".333","13510"
"Pedro Severino","BAL","1","3","3","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".333","14523"
"Andrew Knapp","PHI","1","3","4","1","1","0","0","0","1","1","1","0","1","0","0","0","0","0","0",".333","14942"
"Victor Caratini","SDP","1","3","5","1","1","0","0","0","2","0","2","0","0","0","0","0","0","0","0",".333","14968"
"Hunter Dozier","KCR","1","3","4","1","0","0","1","0","0","2","1","0","1","0","0","0","1","0","0",".333","15117"
"Jeff McNeil","NYM","1","3","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".333","15362"
"Mike Ford","NYY","1","3","4","1","0","0","0","1","1","1","1","0","1","0","0","0","0","0","0",".333","15585"
"Jose Marmolejos","SEA","1","3","4","1","1","0","0","0","1","0","1","0","1","0","0","0","0","0","0",".333","15767"
"Magneuris Sierra","MIA","1","3","3","1","1","0","0","0","1","0","0","0","1","0","0","0","0","1","0",".333","17023"
"Kyle Tucker","HOU","1","3","4","1","1","0","0","0","2","0","1","0","1","0","0","0","0","1","0",".333","18345"
"Victor Robles","WSN","1","3","4","1","1","0","0","0","2","0","1","0","1","0","0","0","0","0","0",".333","18363"
"Ryan Mountcastle","BAL","1","3","3","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".333","18373"
"Jared Walsh","LAA","1","3","4","1","1","0","0","0","1","0","1","0","1","0","0","0","0","0","0",".333","18607"
"Lourdes Gurriel Jr.","TOR","1","3","4","1","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0",".333","19238"
"Luke Raley","LAD","1","3","4","1","1","0","0","0","1","0","1","1","0","0","0","0","1","0","0",".333","19354"
"Chas McCormick","HOU","1","3","3","1","1","0","0","0","1","1","0","0","1","0","0","0","0","0","0",".333","19599"
"Carlos Santana","KCR","1","4","5","1","1","0","0","0","3","0","1","0","0","0","0","0","0","0","0",".250","2396"
"Anthony Rizzo","CHC","1","4","4","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".250","3473"
"Joey Votto","CIN","1","4","4","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".250","4314"
"Mike Moustakas","CIN","1","4","4","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".250","4892"
"Asdrubal Cabrera","ARI","1","4","4","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0",".250","4962"
"Josh Donaldson","MIN","1","4","5","1","0","0","0","1","1","1","1","0","0","0","0","0","1","0","0",".250","5038"
"Justin Turner","LAD","1","4","5","1","0","0","0","1","2","1","1","0","1","0","0","0","0","0","0",".250","5235"
"Eduardo Escobar","ARI","1","4","4","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0",".250","6153"
"Josh Harrison","WSN","1","4","5","1","0","0","0","1","2","3","0","0","1","1","0","0","0","0","0",".250","8202"
"Brock Holt","TEX","1","4","4","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0",".250","9345"
"Evan Longoria","SFG","1","4","5","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0",".250","9368"
"Nolan Arenado","STL","1","4","4","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".250","9777"
"Kyle Seager","SEA","1","4","4","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",".250","9785"
"Mike Trout","LAA","1","4","4","1","1","0","0","0","1","0","0","0","2","0","0","0","0","0","0",".250","10155"
"Randal Grichuk","TOR","1","4","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".250","10243"
"Brandon Belt","SFG","1","4","5","1","1","0","0","0","0","2","1","0","2","0","0","0","0","0","0",".250","10264"
"Adam Duvall","MIA","1","4","5","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0",".250","10950"
"Jake Marisnick","CHC","1","4","4","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0",".250","11339"
"Eddie Rosario","CLE","1","4","4","1","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".250","12155"
"Xander Bogaerts","BOS","1","4","4","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0",".250","12161"
"Kolten Wong","MIL","1","4","4","1","0","0","0","1","1","2","0","0","1","0","0","0","0","0","0",".250","12532"
"Anthony Rendon","LAA","1","4","4","1","1","0","0","0","1","2","0","0","0","0","0","0","0","0","0",".250","12861"
"Josh Bell","WSN","1","4","4","1","0","0","0","1","1","2","0","0","0","0","0","0","0","0","0",".250","13145"
"Omar Narvaez","MIL","1","4","4","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".250","13338"
"Jacob Stallings","PIT","1","4","5","1","0","0","0","1","1","1","1","0","1","0","0","0","1","0","0",".250","13723"
"Daniel Vogelbach","MIL","1","4","4","1","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0",".250","14130"
"Carlos Correa","HOU","1","4","4","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0",".250","14162"
"Wyatt Mathisen","ARI","1","4","4","1","0","0","0","1","1","1","0","0","1","0","0","0","0","0","0",".250","14555"
"Tony Kemp","OAK","1","4","4","1","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0",".250","14894"
"Ryan McMahon","COL","1","4","4","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".250","15112"
"J.P. Crawford","SEA","1","4","4","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0",".250","15491"
"Willians Astudillo","MIN","1","4","4","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0",".250","15608"
"Yonathan Daza","COL","1","4","4","1","1","0","0","0","0","1","0","0","2","0","0","0","0","0","0",".250","15794"
"Isiah Kiner-Falefa","TEX","1","4","4","1","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0",".250","16512"
"Josh Fuentes","COL","1","4","4","1","1","0","0","0","1","0","0","0","2","0","0","0","1","0","0",".250","16885"
"Ramon Laureano","OAK","1","4","4","1","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0",".250","17128"
"Kevin Newman","PIT","1","4","4","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".250","17696"
