team code, game_date, game_number, mlb id, player name, batting order, confirmed, position
BOS,4/24/2021,1,593428,Xander Bogaerts,4,Y,SS
BOS,4/24/2021,1,646240,Rafael Devers,5,Y,3B
BOS,4/24/2021,1,503556,Marwin Gonzalez,6,Y,RF
BOS,4/24/2021,1,666915,Bobby Dalbec,7,Y,1B
BOS,4/24/2021,1,614173,Franchy Cordero,8,Y,LF
BOS,4/24/2021,1,608700,Kevin Plawecki,9,Y,C
BOS,4/24/2021,1,543135,Nathan Eovaldi,SP,Y,
PIT,4/24/2021,1,624428,Adam Frazier,1,Y,2B
PIT,4/24/2021,1,595943,Phillip Evans,2,Y,LF
PIT,4/24/2021,1,668804,Bryan Reynolds,3,Y,CF
PIT,4/24/2021,1,592567,Colin Moran,4,Y,1B
PIT,4/24/2021,1,570481,Erik Gonzalez,5,Y,3B
PIT,4/24/2021,1,570256,Gregory Polanco,6,Y,RF
PIT,4/24/2021,1,453943,Todd Frazier,7,Y,DH
PIT,4/24/2021,1,605421,Michael Perez,8,Y,C
PIT,4/24/2021,1,621028,Kevin Newman,9,Y,SS
PIT,4/24/2021,1,502239,Trevor Cahill,SP,Y,
MIN,4/24/2021,1,650333,Luis Arraez,1,Y,2B
MIN,4/24/2021,1,518626,Josh Donaldson,2,Y,3B
MIN,4/24/2021,1,443558,Nelson Cruz,3,Y,DH
MIN,4/24/2021,1,621439,Byron Buxton,4,Y,CF
MIN,4/24/2021,1,666135,Alex Kirilloff,5,Y,LF
MIN,4/24/2021,1,593871,Jorge Polanco,6,Y,SS
MIN,4/24/2021,1,553902,Willians Astudillo,7,Y,1B
MIN,4/24/2021,1,595909,Jake Cave,8,Y,RF
MIN,4/24/2021,1,680777,Ryan Jeffers,9,Y,C
MIN,4/24/2021,1,501381,Michael Pineda,SP,Y,
CIN,4/24/2021,1,608385,Jesse Winker,1,Y,LF
CIN,4/24/2021,1,592206,Nick Castellanos,2,Y,RF
CIN,4/24/2021,1,458015,Joey Votto,3,Y,1B
CIN,4/24/2021,1,553993,Eugenio Suarez,4,Y,SS
CIN,4/24/2021,1,571980,Tyler Naquin,5,Y,CF
CIN,4/24/2021,1,663697,Jonathan India,6,Y,2B
CIN,4/24/2021,1,571466,Tucker Barnhart,7,Y,C
CIN,4/24/2021,1,571657,Kyle Farmer,8,Y,3B
CIN,4/24/2021,1,489119,Wade Miley,SP,Y,
STL,4/24/2021,1,669242,Tommy Edman,1,Y,2B
STL,4/24/2021,1,666185,Dylan Carlson,2,Y,CF
STL,4/24/2021,1,502671,Paul Goldschmidt,3,Y,1B
STL,4/24/2021,1,571448,Nolan Arenado,4,Y,3B
STL,4/24/2021,1,657557,Paul DeJong,5,Y,SS
STL,4/24/2021,1,641933,Tyler O'Neill,6,Y,LF
STL,4/24/2021,1,668800,Andrew Knizner,7,Y,C
STL,4/24/2021,1,642211,Justin Williams,8,Y,RF
STL,4/24/2021,1,607231,John Gant,SP,Y,
MIL,4/24/2021,1,543939,Kolten Wong,1,Y,2B
MIL,4/24/2021,1,553882,Omar Narvaez,2,Y,C
MIL,4/24/2021,1,621438,Tyrone Taylor,3,Y,RF
MIL,4/24/2021,1,543768,Travis Shaw,4,Y,3B
MIL,4/24/2021,1,641856,Billy McKinney,5,Y,LF
MIL,4/24/2021,1,669374,Keston Hiura,6,Y,1B
MIL,4/24/2021,1,598265,Jackie Bradley,7,Y,CF
MIL,4/24/2021,1,649966,Luis Urias,8,Y,SS
MIL,4/24/2021,1,642547,Freddy Peralta,SP,Y,
CHC,4/24/2021,1,664023,Ian Happ,1,Y,CF
CHC,4/24/2021,1,575929,Willson Contreras,2,Y,C
CHC,4/24/2021,1,519203,Anthony Rizzo,3,Y,1B
CHC,4/24/2021,1,592178,Kris Bryant,4,Y,LF
CHC,4/24/2021,1,622110,Matt Duffy,5,Y,3B
CHC,4/24/2021,1,518792,Jason Heyward,6,Y,RF
CHC,4/24/2021,1,519299,Eric Sogard,7,Y,2B
CHC,4/24/2021,1,663538,Nico Hoerner,8,Y,SS
CHC,4/24/2021,1,640470,Adbert Alzolay,SP,Y,
WAS,4/24/2021,1,664057,Andrew Stevenson,1,N,
WAS,4/24/2021,1,543281,Josh Harrison,2,N,
WAS,4/24/2021,1,607208,Trea Turner,3,N,
WAS,4/24/2021,1,605137,Josh Bell,4,N,
WAS,4/24/2021,1,656941,Kyle Schwarber,5,N,
WAS,4/24/2021,1,516770,Starlin Castro,6,N,
WAS,4/24/2021,1,543228,Yan Gomes,7,N,
WAS,4/24/2021,1,645302,Victor Robles,8,N,
WAS,4/24/2021,1,605452,Joe Ross,SP,N,
NYM,4/24/2021,1,607043,Brandon Nimmo,1,Y,CF
NYM,4/24/2021,1,596019,Francisco Lindor,2,Y,SS
NYM,4/24/2021,1,642086,Dominic Smith,3,Y,LF
NYM,4/24/2021,1,624413,Peter Alonso,4,Y,1B
NYM,4/24/2021,1,624424,Michael Conforto,5,Y,RF
NYM,4/24/2021,1,605204,J.D. Davis,6,Y,3B
NYM,4/24/2021,1,643446,Jeff McNeil,7,Y,2B
NYM,4/24/2021,1,543510,James McCann,8,Y,C
NYM,4/24/2021,1,573186,Marcus Stroman,SP,Y,
LAA,4/24/2021,1,664058,David Fletcher,1,Y,2B
LAA,4/24/2021,1,660271,Shohei (H) Ohtani,2,Y,DH
LAA,4/24/2021,1,457708,Justin Upton,3,Y,LF
LAA,4/24/2021,1,665120,Jared Walsh,4,Y,RF
LAA,4/24/2021,1,405395,Albert Pujols,5,Y,1B
LAA,4/24/2021,1,594988,Scott Schebler,6,Y,CF
LAA,4/24/2021,1,578428,Jose Iglesias,7,Y,SS
LAA,4/24/2021,1,435559,Kurt Suzuki,8,Y,C
LAA,4/24/2021,1,650859,Luis Rengifo,9,Y,3B
LAA,4/24/2021,1,656288,Griffin Canning,SP,Y,
HOU,4/24/2021,1,621043,Carlos Correa,1,Y,SS
HOU,4/24/2021,1,488726,Michael Brantley,2,Y,LF
HOU,4/24/2021,1,608324,Alex Bregman,3,Y,3B
HOU,4/24/2021,1,670541,Yordan Alvarez,4,Y,DH
HOU,4/24/2021,1,493329,Yulieski Gurriel,5,Y,1B
HOU,4/24/2021,1,663656,Kyle Tucker,6,Y,RF
HOU,4/24/2021,1,596825,Robel Garcia,7,Y,2B
HOU,4/24/2021,1,664702,Myles Straw,8,Y,CF
HOU,4/24/2021,1,488771,Jason Castro,9,Y,C
HOU,4/24/2021,1,543606,Jake Odorizzi,SP,Y,
TOR,4/24/2021,1,543760,Marcus Semien,1,N,
TOR,4/24/2021,1,624415,Cavan Biggio,2,N,
TOR,4/24/2021,1,666182,Bo Bichette,3,N,
TOR,4/24/2021,1,665489,Vladimir Guerrero,4,N,
TOR,4/24/2021,1,669289,Santiago Espinal,5,N,
TOR,4/24/2021,1,642133,Rowdy Tellez,6,N,
TOR,4/24/2021,1,545341,Randal Grichuk,7,N,
TOR,4/24/2021,1,643376,Danny Jansen,8,N,
TOR,4/24/2021,1,641943,Joshua Palacios,9,N,
TOR,4/24/2021,1,592662,Robbie Ray,SP,N,
TB,4/24/2021,1,650490,Yandy Diaz,1,N,
TB,4/24/2021,1,668227,Randy Arozarena,2,N,
TB,4/24/2021,1,664040,Brandon Lowe,3,N,
TB,4/24/2021,1,622534,Manuel Margot,4,N,
TB,4/24/2021,1,670712,Mike Brosseau,5,N,
TB,4/24/2021,1,642336,Francisco Mejia,6,N,
TB,4/24/2021,1,621563,Joseph Wendle,7,N,
TB,4/24/2021,1,642715,Willy Adames,8,N,
TB,4/24/2021,1,595281,Kevin Kiermaier,9,N,
TB,4/24/2021,1,641703,Brent Honeywell,SP,N,
NYY,4/24/2021,1,518934,DJ LeMahieu,1,N,
NYY,4/24/2021,1,592450,Aaron Judge,2,N,
NYY,4/24/2021,1,543305,Aaron Hicks,3,N,
NYY,4/24/2021,1,519317,Giancarlo Stanton,4,N,
NYY,4/24/2021,1,650402,Gleyber Torres,5,N,
NYY,4/24/2021,1,458731,Brett Gardner,6,N,
NYY,4/24/2021,1,596142,Gary Sanchez,7,N,
NYY,4/24/2021,1,570482,Giovanny Urshela,8,N,
NYY,4/24/2021,1,596059,Rougned Odor,9,N,
NYY,4/24/2021,1,543037,Gerrit Cole,SP,N,
CLE,4/24/2021,1,642708,Amed Rosario,1,N,
CLE,4/24/2021,1,514917,Cesar Hernandez,2,N,
CLE,4/24/2021,1,608070,Jose Ramirez,3,N,
CLE,4/24/2021,1,592696,Eddie Rosario,4,N,
CLE,4/24/2021,1,614177,Franmil Reyes,5,N,
CLE,4/24/2021,1,647304,Josh Naylor,6,N,
CLE,4/24/2021,1,665926,Andres Gimenez,7,N,
CLE,4/24/2021,1,595978,Austin Hedges,8,N,
CLE,4/24/2021,1,644374,Yu-Cheng Chang,9,N,
CLE,4/24/2021,1,669456,Shane Bieber,SP,N,
OAK,4/24/2021,1,592192,Mark Canha,1,N,
OAK,4/24/2021,1,476704,Jed Lowrie,2,N,
OAK,4/24/2021,1,657656,Ramon Laureano,3,N,
OAK,4/24/2021,1,656305,Matt Chapman,4,N,
OAK,4/24/2021,1,669221,Sean Murphy,5,N,
OAK,4/24/2021,1,572039,Stephen Piscotty,6,N,
OAK,4/24/2021,1,519048,Mitch Moreland,7,N,
OAK,4/24/2021,1,462101,Elvis Andrus,8,N,
OAK,4/24/2021,1,643393,Tony Kemp,9,N,
OAK,4/24/2021,1,605135,Chris Bassitt,SP,N,
BAL,4/24/2021,1,656775,Cedric Mullins,1,N,
BAL,4/24/2021,1,621466,DJ Stewart,2,N,
BAL,4/24/2021,1,596748,Maikel Franco,3,N,
BAL,4/24/2021,1,641820,Trey Mancini,4,N,
BAL,4/24/2021,1,663624,Ryan Mountcastle,5,N,
BAL,4/24/2021,1,547004,Rio Ruiz,6,N,
BAL,4/24/2021,1,663630,Ryan McKenna,7,N,
BAL,4/24/2021,1,600474,Pedro Severino,8,N,
BAL,4/24/2021,1,520471,Freddy Galvis,9,N,
BAL,4/24/2021,1,453281,Wade LeBlanc,SP,N,
TEX,4/24/2021,1,643396,Isiah Kiner-Falefa,1,N,
TEX,4/24/2021,1,621311,David Dahl,2,N,
TEX,4/24/2021,1,608336,Joey Gallo,3,N,
TEX,4/24/2021,1,669256,Nick Solak,4,N,
TEX,4/24/2021,1,663993,Nathaniel Lowe,5,N,
TEX,4/24/2021,1,642201,Eli White,6,N,
TEX,4/24/2021,1,624431,Jose Trevino,7,N,
TEX,4/24/2021,1,665750,Leody Taveras,8,N,
TEX,4/24/2021,1,518586,Charlie Culberson,9,N,
TEX,4/24/2021,1,502043,Kyle Gibson,SP,N,
CHW,4/24/2021,1,641313,Tim Anderson,1,N,
CHW,4/24/2021,1,673357,Luis Robert,2,N,
CHW,4/24/2021,1,547989,Jose Abreu,3,N,
CHW,4/24/2021,1,660162,Yoan Moncada,4,N,
CHW,4/24/2021,1,683734,Andrew Vaughn,5,N,
CHW,4/24/2021,1,606213,Yermin Mercedes,6,N,
CHW,4/24/2021,1,518735,Yasmani Grandal,7,N,
CHW,4/24/2021,1,663611,Nick Madrigal,8,N,
CHW,4/24/2021,1,594809,Adam Eaton,9,N,
CHW,4/24/2021,1,572971,Dallas Keuchel,SP,N,
ARI,4/24/2021,1,621500,Wyatt Mathisen,1,N,
ARI,4/24/2021,1,594777,Kole Calhoun,2,N,
ARI,4/24/2021,1,500871,Eduardo Escobar,3,N,
ARI,4/24/2021,1,452678,Asdrubal Cabrera,4,N,
ARI,4/24/2021,1,605113,Nick Ahmed,5,N,
ARI,4/24/2021,1,608348,Carson Kelly,6,N,
ARI,4/24/2021,1,668942,Josh Rojas,7,N,
ARI,4/24/2021,1,670370,Andy Young,8,N,
ARI,4/24/2021,1,518516,Madison Bumgarner,SP,N,
ATL,4/24/2021,1,660670,Ronald Acuna,1,N,
ATL,4/24/2021,1,518692,Freddie Freeman,2,N,
ATL,4/24/2021,1,542303,Marcell Ozuna,3,N,
ATL,4/24/2021,1,518595,Travis d'Arnaud,4,N,
ATL,4/24/2021,1,645277,Ozzie Albies,5,N,
ATL,4/24/2021,1,621020,Dansby Swanson,6,N,
ATL,4/24/2021,1,663586,Austin Riley,7,N,
ATL,4/24/2021,1,501303,Ehire Adrianza,8,N,
ATL,4/24/2021,1,592767,Drew Smyly,SP,N,
PHI,4/24/2021,1,457705,Andrew McCutchen,1,N,
PHI,4/24/2021,1,656555,Rhys Hoskins,2,N,
PHI,4/24/2021,1,547180,Bryce Harper,3,N,
PHI,4/24/2021,1,592663,JT Realmuto,4,N,
PHI,4/24/2021,1,664761,Alec Bohm,5,N,
PHI,4/24/2021,1,544369,Didi Gregorius,6,N,
PHI,4/24/2021,1,516416,Jean Segura,7,N,
PHI,4/24/2021,1,596451,Roman Quinn,8,N,
PHI,4/24/2021,1,605400,Aaron Nola,SP,N,
COL,4/24/2021,1,606132,Raimel Tapia,1,N,
COL,4/24/2021,1,641658,Garrett Hampson,2,N,
COL,4/24/2021,1,596115,Trevor Story,3,N,
COL,4/24/2021,1,453568,Charlie Blackmon,4,N,
COL,4/24/2021,1,543068,C.J. Cron,5,N,
COL,4/24/2021,1,641857,Ryan McMahon,6,N,
COL,4/24/2021,1,658069,Josh Fuentes,7,N,
COL,4/24/2021,1,624513,Dom Nunez,8,N,
COL,4/24/2021,1,622608,Antonio Senzatela,SP,N,
MIA,4/24/2021,1,665862,Jazz Chisholm,1,N,
MIA,4/24/2021,1,500743,Miguel Rojas,2,N,
MIA,4/24/2021,1,542583,Jesus Aguilar,3,N,
MIA,4/24/2021,1,594807,Adam Duvall,4,N,
MIA,4/24/2021,1,572816,Corey Dickerson,5,N,
MIA,4/24/2021,1,621446,Lewis Brinson,6,N,
MIA,4/24/2021,1,542932,Jonathon Berti,7,N,
MIA,4/24/2021,1,595453,Chad Wallach,8,N,
MIA,4/24/2021,1,641154,Pablo Lopez,SP,N,
SF,4/24/2021,1,573262,Mike Yastrzemski,1,N,
SF,4/24/2021,1,600303,Tommy La Stella,2,N,
SF,4/24/2021,1,474832,Brandon Belt,3,N,
SF,4/24/2021,1,457763,Buster Posey,4,N,
SF,4/24/2021,1,543105,Alex Dickerson,5,N,
SF,4/24/2021,1,446334,Evan Longoria,6,N,
SF,4/24/2021,1,543063,Brandon Crawford,7,N,
SF,4/24/2021,1,643289,Mauricio Dubon,8,N,
SF,4/24/2021,1,592332,Kevin Gausman,SP,N,
SD,4/24/2021,1,663757,Trent Grisham,1,N,
SD,4/24/2021,1,665487,Fernando Tatis,2,N,
SD,4/24/2021,1,630105,Jake Cronenworth,3,N,
SD,4/24/2021,1,592518,Manny Machado,4,N,
SD,4/24/2021,1,502054,Thomas Pham,5,N,
SD,4/24/2021,1,543333,Eric Hosmer,6,N,
SD,4/24/2021,1,571976,Wil Myers,7,N,
SD,4/24/2021,1,669134,Luis Campusano,8,N,
SD,4/24/2021,1,605483,Blake Snell,SP,N,
LAD,4/24/2021,1,605141,Mookie Betts,1,N,
LAD,4/24/2021,1,608369,Corey Seager,2,N,
LAD,4/24/2021,1,457759,Justin Turner,3,N,
LAD,4/24/2021,1,669257,Will Smith,4,N,
LAD,4/24/2021,1,621035,Chris Taylor,5,N,
LAD,4/24/2021,1,571970,Max Muncy,6,N,
LAD,4/24/2021,1,572041,AJ Pollock,7,N,
LAD,4/24/2021,1,641914,Sheldon Neuse,8,N,
LAD,4/24/2021,1,545333,Trevor Bauer,SP,N,
