Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
,,,,,,,Kyle Tucker,OF,18.75%,14
,,,,,,,Clayton Kershaw,P,12.50%,24.7
,,,,,,,David Peterson,P,12.50%,26.9
,,,,,,,Jake Arrieta,P,12.50%,12.5
,,,,,,,Trevor Story,SS,12.50%,19
,,,,,,,Alex Bregman,3B,12.50%,2
,,,,,,,Vladimir Guerrero Jr.,1B,12.50%,18
,,,,,,,Willson Contreras,C,12.50%,5
,,,,,,,Juan Soto,OF,12.50%,9
,,,,,,,Bo Bichette,SS,12.50%,7
,,,,,,,Jean Segura,2B,12.50%,9
,,,,,,,David Fletcher,2B,12.50%,0
,,,,,,,Mitch Moreland,1B,12.50%,5
,,,,,,,Josh Harrison,2B,12.50%,13
,,,,,,,Adolis Garc?a,OF,12.50%,19
,,,,,,,Luis Arraez,2B,12.50%,3
,,,,,,,Zack Greinke,P,6.25%,18.95
,,,,,,,Aaron Civale,P,6.25%,12.2
,,,,,,,Sandy Alcantara,P,6.25%,-12.4
,,,,,,,Drew Smyly,P,6.25%,19.9
,,,,,,,Wade Miley,P,6.25%,-7.65
,,,,,,,Dean Kremer,P,6.25%,12.25
,,,,,,,Rafael Devers,3B,6.25%,5
,,,,,,,Xander Bogaerts,SS,6.25%,3
,,,,,,,Jos? Ram?rez,3B,6.25%,0
,,,,,,,DJ LeMahieu,2B,6.25%,6
,,,,,,,J.D. Martinez,OF,6.25%,5
,,,,,,,Eugenio Su?rez,3B,6.25%,16
,,,,,,,Bryce Harper,OF,6.25%,16
,,,,,,,Luke Voit,1B,6.25%,0
,,,,,,,Nelson Cruz,OF,6.25%,0
,,,,,,,Gary S?nchez,C,6.25%,0
,,,,,,,Yordan Alvarez,OF,6.25%,5
,,,,,,,Josh Donaldson,3B,6.25%,14
,,,,,,,Ozzie Albies,2B,6.25%,14
,,,,,,,Marcell Ozuna,OF,6.25%,23
,,,,,,,David Peralta,OF,6.25%,10
,,,,,,,Matt Duffy,3B,6.25%,0
,,,,,,,Christian V?zquez,C,6.25%,6
,,,,,,,Miguel Rojas,SS,6.25%,14
,,,,,,,Michael Brantley,OF,6.25%,2
,,,,,,,Tyler Naquin,OF,6.25%,7
,,,,,,,Yadier Molina,C,6.25%,7
,,,,,,,Nick Solak,2B,6.25%,7
,,,,,,,Joc Pederson,OF,6.25%,9
,,,,,,,Kolten Wong,2B,6.25%,6
,,,,,,,Cesar Hernandez,2B,6.25%,6
,,,,,,,Austin Hays,OF,6.25%,16
,,,,,,,Freddy Galvis,SS,6.25%,0
,,,,,,,Jeff McNeil,2B,6.25%,5
,,,,,,,Mitch Haniger,OF,6.25%,16
,,,,,,,Dansby Swanson,SS,6.25%,4
,,,,,,,Mike Brosseau,3B,6.25%,0
,,,,,,,Luis Torrens,C,6.25%,2
,,,,,,,Amed Rosario,SS,6.25%,0
,,,,,,,J.P. Crawford,SS,6.25%,2
,,,,,,,Yandy D?az,1B,6.25%,5
,,,,,,,Jonathan India,2B,6.25%,21
,,,,,,,Kyle Higashioka,C,6.25%,4
,,,,,,,Starlin Castro,3B,6.25%,4
,,,,,,,Willy Adames,SS,6.25%,5
,,,,,,,Kyle Lewis,OF,6.25%,2
,,,,,,,Willie Calhoun,OF,6.25%,0
,,,,,,,Clint Frazier,OF,6.25%,3
,,,,,,,Andrelton Simmons,SS,6.25%,3
,,,,,,,Manny Pi?a,C,6.25%,19
,,,,,,,Lourdes Gurriel Jr.,OF,6.25%,6
,,,,,,,Alec Bohm,3B,6.25%,7
,,,,,,,Alan Trejo,2B,6.25%,0
,,,,,,,Mart?n Maldonado,C,6.25%,23
,,,,,,,Danny Jansen,C,6.25%,0
,,,,,,,Michael Chavis,1B,6.25%,0
,,,,,,,Andrew Knapp,C,6.25%,4
,,,,,,,Josh Fuentes,3B,6.25%,18
,,,,,,,Tyler Wade,SS,6.25%,0
,,,,,,,Tyrone Taylor,OF,6.25%,0
,,,,,,,Jake Rogers,C,6.25%,14
,,,,,,,Shogo Akiyama,OF,6.25%,8
,,,,,,,Nomar Mazara,OF,6.25%,5
,,,,,,,Robel Garc?a,2B,6.25%,3
,,,,,,,Trevor Larnach,OF,6.25%,0
,,,,,,,Jarred Kelenic,OF,6.25%,30
