"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Erik Gonzalez","PIT","20","61","63","17","11","5","0","1","4","12","2","0","10","0","0","0","2","0","0",".279","13369"
"Miguel Rojas","MIA","19","65","75","18","12","5","1","0","10","6","8","0","5","2","0","0","1","3","1",".277","7802"
"Buster Posey","SFG","14","47","53","13","8","1","0","4","9","4","5","0","9","1","0","0","5","0","0",".277","9166"
"Whit Merrifield","KCR","19","76","85","21","14","4","0","3","13","13","5","1","8","1","3","0","0","6","1",".276","11281"
"Rafael Devers","BOS","20","76","86","21","11","4","0","6","13","18","8","1","19","1","1","0","2","1","1",".276","17350"
"Michael A. Taylor","KCR","19","62","68","17","14","1","0","2","9","6","6","0","15","0","0","0","1","2","0",".274","11489"
"Mark Canha","OAK","20","73","92","20","13","3","1","3","23","7","14","0","20","5","0","0","0","4","1",".274","11445"
"Starlin Castro","WSN","18","66","71","18","13","4","0","1","3","12","3","0","14","0","2","0","1","0","0",".273","4579"
"Sandy Leon","MIA","4","11","11","3","3","0","0","0","1","0","0","0","1","0","0","0","1","0","0",".273","5273"
"Ryan McMahon","COL","20","77","78","21","10","4","0","7","13","13","1","0","18","0","0","0","3","1","0",".273","15112"
"Wil Myers","SDP","22","70","80","19","11","4","0","4","12","12","10","0","19","0","0","0","2","4","1",".271","10047"
"Mookie Betts","LAD","15","59","72","16","9","5","0","2","13","3","10","0","9","3","0","0","0","3","1",".271","13611"
"Charlie Culberson","TEX","13","37","40","10","5","3","0","2","2","5","1","0","11","0","0","2","0","1","0",".270","3298"
"Didi Gregorius","PHI","17","63","68","17","14","1","0","2","3","12","2","1","14","1","2","0","1","1","0",".270","6012"
"Brock Holt","TEX","10","26","34","7","6","1","0","0","1","3","7","0","6","1","0","0","1","1","0",".269","9345"
"Tim Locastro","ARI","15","52","58","14","13","0","0","1","7","2","4","0","12","2","0","0","1","3","1",".269","15124"
"Nicky Lopez","KCR","19","52","60","14","11","2","1","0","9","7","5","0","6","0","1","2","0","2","0",".269","19339"
"Garrett Hampson","COL","18","67","75","18","11","4","1","2","15","8","6","0","19","0","2","0","0","5","1",".269","19262"
"Tommy Edman","STL","20","82","90","22","17","2","1","2","10","4","7","0","8","1","0","0","0","4","1",".268","19470"
"David Peralta","ARI","19","71","79","19","12","2","3","2","11","16","8","2","12","0","0","0","3","0","0",".268","2136"
"Adolis Garcia","TEX","11","45","47","12","5","1","1","5","7","12","2","0","14","0","0","0","0","0","2",".267","19287"
"Nolan Arenado","STL","20","79","85","21","13","4","0","4","10","12","6","1","15","0","0","0","3","0","0",".266","9777"
"David Fletcher","LAA","19","83","87","22","21","1","0","0","11","8","2","0","10","0","1","1","1","0","0",".265","17992"
"Yoan Moncada","CHW","18","68","80","18","14","2","0","2","9","11","8","0","22","3","1","0","1","0","0",".265","17232"
"Sam Haggerty","SEA","13","34","36","9","6","1","0","2","7","5","2","0","8","0","0","0","0","3","0",".265","18054"
"Seth Brown","OAK","11","34","38","9","5","1","0","3","4","6","4","0","9","0","0","0","0","0","0",".265","18171"
"Kyle Isbel","KCR","12","34","36","9","8","0","1","0","5","3","2","0","15","0","0","0","0","1","0",".265","21614"
"Colin Moran","PIT","21","76","84","20","11","5","0","4","8","15","8","0","25","0","0","0","0","0","0",".263","16909"
"Corey Seager","LAD","20","80","91","21","12","6","0","3","11","15","11","1","16","0","0","0","2","0","0",".263","13624"
"Rhys Hoskins","PHI","20","80","84","21","8","7","0","6","16","12","4","0","29","0","0","0","3","0","0",".263","16472"
"Bo Bichette","TOR","20","80","87","21","12","4","0","5","14","12","4","0","24","2","1","0","3","3","0",".263","19612"
"Kole Calhoun","ARI","11","42","44","11","7","3","0","1","4","4","2","0","12","0","0","0","1","0","0",".262","11200"
"Max Muncy","LAD","20","65","83","17","11","2","1","3","12","11","16","2","15","2","0","0","0","0","0",".262","13301"
"Jose Iglesias","LAA","19","73","75","19","16","2","0","1","9","3","2","0","14","0","0","0","3","1","0",".260","10231"
"Akil Baddoo","DET","16","50","53","13","3","4","2","4","6","13","2","0","23","0","1","0","0","1","0",".260","22168"
