"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Vince Velasquez","PHI","0","0","1.69","1","1","0","0","0","0","0","5.1","21","2","1","1","1","3","0","0","0","0","6","11189"
"Adrian Houser","MIL","1","0","3.00","1","1","0","0","0","0","0","6.0","23","5","2","2","1","0","0","0","0","0","10","12718"
"Jose Berrios","MIN","0","0","3.00","1","1","0","0","0","0","0","6.0","27","6","2","2","1","5","0","1","0","0","1","14168"
"Kolby Allard","TEX","0","0","3.00","1","0","0","0","0","0","0","3.0","11","2","1","1","1","0","0","0","0","0","2","18694"
"Wil Crowe","PIT","0","0","3.00","1","1","0","0","0","0","0","6.0","23","4","2","2","0","1","0","1","1","0","5","19800"
"Corey Kluber","NYY","0","0","3.18","1","1","0","0","0","0","0","5.2","25","6","2","2","0","3","0","0","0","0","6","2429"
"Merrill Kelly","ARI","0","1","3.18","1","1","0","0","0","0","0","5.2","25","3","3","2","1","5","0","0","0","0","6","11156"
"Frankie Montas","OAK","1","0","3.38","1","1","0","0","0","0","0","5.1","23","5","2","2","1","2","0","0","0","0","6","14309"
"Erik Swanson","SEA","0","0","3.38","1","1","0","0","0","0","0","2.2","10","2","1","1","1","1","0","0","0","0","0","16587"
"Jose Urena","DET","0","0","4.15","1","1","0","0","0","0","0","4.1","24","9","2","2","1","2","0","0","0","0","3","11589"
"Wade Davis","KCR","0","0","4.50","1","0","0","0","0","0","0","2.0","8","2","1","1","0","0","0","0","0","0","2","7441"
"Trevor Williams","CHC","0","0","4.50","1","1","0","0","0","0","0","4.0","20","5","2","2","1","2","0","0","0","0","6","16977"
"Michael Kopech","CHW","0","0","4.50","1","0","0","0","0","0","0","2.0","9","3","1","1","0","0","0","0","0","0","1","17282"
"Nabil Crismatt","SDP","0","0","4.50","1","0","0","0","0","0","0","2.0","10","1","2","1","1","3","0","0","0","0","1","17732"
"Ian Anderson","ATL","0","0","4.50","1","1","0","0","0","0","0","6.0","25","6","3","3","1","3","0","0","0","0","7","19951"
"Tyler Glasnow","TBR","0","1","4.76","1","1","0","0","0","0","0","5.2","23","2","3","3","2","4","0","0","0","0","11","14374"
"Garrett Richards","BOS","1","0","5.14","1","1","0","0","0","0","0","7.0","28","8","4","4","1","1","0","0","0","0","5","9784"
"Steven Matz","TOR","1","0","5.40","1","1","0","0","0","0","0","5.0","23","8","3","3","1","0","0","0","0","0","4","13361"
"Alex Reyes","STL","0","0","5.40","1","0","0","0","1","0","0","1.2","7","1","1","1","0","1","0","0","0","0","3","15015"
"Daniel Castano","MIA","0","1","6.75","1","1","0","0","0","0","0","4.0","20","6","3","3","1","2","0","0","0","0","5","19805"
"Derek Law","MIN","0","0","6.75","1","0","0","0","0","0","0","1.1","10","3","1","1","0","3","0","0","1","0","2","13133"
"John King","TEX","1","0","6.75","1","0","0","0","0","0","0","1.1","5","1","1","1","1","0","0","0","0","0","1","22051"
"Joe Musgrove","SDP","0","1","7.20","1","1","0","0","0","0","0","5.0","23","8","4","4","2","0","0","1","0","0","7","12970"
"Cristian Javier","HOU","0","1","8.44","1","1","0","0","0","0","0","5.1","24","4","5","5","2","4","0","0","0","0","8","17606"
"Jake Diekman","OAK","0","0","9.00","1","0","0","0","0","1","0","1.0","6","3","1","1","0","0","0","0","0","0","2","5003"
"Ian Kennedy","TEX","0","0","9.00","1","0","0","0","1","0","0","1.0","5","2","1","1","0","1","0","0","0","0","0","6986"
"Richard Bleier","MIA","0","0","9.00","1","0","0","0","0","0","0","1.0","5","2","1","1","0","0","0","0","0","0","0","7803"
"Brad Hand","WSN","0","0","9.00","1","0","0","0","0","0","1","1.0","7","3","2","1","0","1","0","0","0","0","1","9111"
"Aaron Loup","NYM","0","0","9.00","1","0","0","0","0","1","0","1.0","6","2","1","1","0","1","0","0","0","0","1","10343"
"Carlos Martinez","STL","1","0","9.00","1","1","0","0","0","0","0","5.0","26","6","5","5","0","5","0","0","1","0","2","11682"
"Chris Devenski","ARI","0","0","9.00","1","0","0","0","0","0","0","1.0","5","1","1","1","0","1","0","0","0","0","0","12763"
"Mike Mayers","LAA","0","0","9.00","1","0","0","0","0","0","0","1.0","5","2","1","1","0","0","0","0","0","0","1","15451"
"Nick Wittgren","CLE","0","0","9.00","1","0","0","0","0","0","0","1.0","4","1","1","1","1","0","0","0","0","0","0","15594"
"Luis Castillo","CIN","0","1","9.00","1","1","0","0","0","0","0","4.0","21","5","6","4","0","2","0","0","0","0","2","15689"
"Jordan Romano","TOR","0","0","9.00","1","0","0","0","0","1","0","1.0","4","1","1","1","0","0","0","0","0","0","1","16122"
"Tim Hill","SDP","0","0","9.00","1","0","0","0","0","0","0","1.0","6","2","1","1","0","1","1","0","0","0","0","16814"
"Justin Lawrence","COL","0","0","9.00","1","0","0","0","0","0","0","2.0","9","3","2","2","0","1","0","0","0","0","1","17639"
"Jacob Webb","ATL","1","0","9.00","1","0","0","0","0","0","0","1.0","6","2","3","1","0","0","0","0","0","0","0","19274"
"Will Vest","SEA","0","0","9.00","1","0","0","0","0","0","0","2.0","9","3","2","2","0","0","0","0","0","0","1","19769"
"Alex Lange","DET","0","0","9.00","1","0","0","0","0","0","0","1.0","5","2","1","1","0","0","0","0","1","0","2","19883"
"Tyler Wells","BAL","0","0","9.00","1","0","0","0","0","0","0","2.0","9","2","2","2","1","1","0","0","1","0","3","20000"
"Shawn Armstrong","BAL","0","0","10.80","1","0","0","0","0","0","0","1.2","10","5","2","2","0","0","0","0","0","0","3","12857"
"Austin Brice","BOS","0","0","10.80","1","0","0","0","0","0","0","1.2","10","1","2","2","0","1","0","3","0","0","2","17237"
"Kohei Arihara","TEX","0","0","12.27","1","1","0","0","0","0","0","3.2","20","6","5","5","1","3","0","0","0","0","3","27505"
"Giovanny Gallegos","STL","0","0","13.50","1","0","0","0","0","0","0","1.1","8","4","2","2","0","0","0","0","0","0","0","14986"
"Joe Smith","HOU","0","0","13.50","1","0","0","0","0","0","0","0.2","3","1","1","1","1","0","0","0","0","0","1","3281"
"Cody Reed","TBR","0","0","13.50","1","0","0","0","0","0","0","0.2","3","1","1","1","0","0","0","0","0","0","0","15232"
"Sam Howard","PIT","0","1","13.50","1","0","0","0","0","0","0","0.2","3","0","1","1","0","1","0","0","0","0","2","16265"
"Chi Chi Gonzalez","COL","0","1","15.75","1","1","0","0","0","0","0","4.0","21","8","7","7","1","1","0","1","0","0","1","14663"
"Dylan Bundy","LAA","0","1","16.20","1","1","0","0","0","0","0","3.1","16","5","6","6","0","1","0","0","0","0","3","12917"
"Hector Neris","PHI","0","0","18.00","1","0","0","0","0","0","1","1.0","6","1","2","2","1","2","0","0","0","0","1","11804"
"John Curtiss","MIA","0","0","18.00","1","0","0","0","0","0","0","1.0","5","1","2","2","1","0","0","1","0","0","2","16128"
"Enyel De Los Santos","PHI","0","1","27.00","1","0","0","0","0","0","1","0.0","3","2","4","3","0","1","0","0","0","0","0","18403"
"Ljay Newsome","SEA","0","0","27.00","1","0","0","0","0","0","0","1.0","6","4","3","3","1","0","0","0","0","0","2","19942"
"Zac Lowther","BAL","0","1","27.00","1","1","0","0","0","0","0","2.1","16","7","7","7","1","2","0","0","0","0","3","20243"
"Steve Cishek","LAA","0","0","27.00","1","0","0","0","0","0","0","0.2","7","3","2","2","0","2","1","0","0","0","0","6483"
"Garrett Cleavinger","LAD","0","0","27.00","1","0","0","0","0","0","0","0.1","2","1","1","1","1","0","0","0","0","0","1","17897"
"Ryan Hendrix","CIN","0","0","40.50","1","0","0","0","0","0","0","0.2","6","3","3","3","0","1","0","0","0","0","0","19535"
"Felix Pena","LAA","0","0","45.00","1","0","0","0","0","0","0","1.0","10","4","5","5","0","3","0","0","0","0","1","13403"
"Tyler Duffey","MIN","0","1","54.00","1","0","0","0","0","0","0","0.2","6","3","4","4","0","1","0","0","1","0","0","13758"
"Anthony Misiewicz","SEA","0","1","54.00","1","0","0","0","0","0","1","0.1","5","3","3","2","1","1","1","0","1","0","1","18152"
"Dennis Santana","LAD","0","0","108.00","1","0","0","0","0","0","0","0.1","6","3","4","4","0","2","0","0","0","0","0","17878"
"Daniel Lynch","KCR","0","1","108.00","1","1","0","0","0","0","0","0.2","10","7","8","8","1","1","0","0","0","0","0","21537"
