team code, game_date, game_number, mlb id, player name, batting order, confirmed, position
MIL,4/19/2021,1,605540,Brandon Woodruff,SP,N,
SD,4/19/2021,1,663757,Trent Grisham,1,N,
SD,4/19/2021,1,665487,Fernando Tatis,2,N,
SD,4/19/2021,1,630105,Jake Cronenworth,3,N,
SD,4/19/2021,1,592518,Manny Machado,4,N,
SD,4/19/2021,1,502054,Thomas Pham,5,N,
SD,4/19/2021,1,543333,Eric Hosmer,6,N,
SD,4/19/2021,1,571976,Wil Myers,7,N,
SD,4/19/2021,1,669134,Luis Campusano,8,N,
SD,4/19/2021,1,605397,Joe Musgrove,SP,N,
