Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
11,2684418756,CuBearFan,0,97.5,C Mart?n Maldonado 2B Jose Altuve OF Mitch Haniger P Blake Snell 3B Alex Bregman P Julio Ur?as 1B Yuli Gurriel OF Kyle Lewis SS Ha-Seong Kim OF Jarred Kelenic,,Jose Altuve,2B,28.57%,8
11,2684819018,rochanabanana,0,97.5,OF Tommy Pham 2B Cesar Hernandez 3B Manny Machado P Blake Snell C Austin Hedges OF Franmil Reyes SS Amed Rosario P Julio Ur?as 1B Jake Cronenworth OF Trent Grisham,,Carlos Correa,SS,28.57%,3
13,2684788868,shwaebs9,0,92.85,3B Kyle Seager P Blake Snell OF Chris Taylor OF Franmil Reyes SS Carlos Correa 1B Matt Olson 2B Garrett Hampson OF Kyle Lewis C Sean Murphy P Zach Plesac,,Cesar Hernandez,2B,23.81%,3
14,2684889447,rsthomson,0,84.85,2B Jose Altuve P Andrew Heaney OF Mark Canha 3B Manny Machado P Blake Snell C Eric Haase 1B Matt Olson OF Shohei Ohtani OF Trent Grisham SS Ha-Seong Kim,,Mookie Betts,OF,23.81%,21
15,2684677080,thecoy,0,81.85,P Andrew Heaney 2B Cesar Hernandez P Blake Snell OF Mookie Betts C Eric Haase 3B Alex Bregman OF Shohei Ohtani SS J.P. Crawford 1B Jared Walsh OF Taylor Ward,,Franmil Reyes,OF,23.81%,7
16,2684842715,beeker76,0,80.55,2B Cesar Hernandez 3B Manny Machado 1B Austin Nola OF Mookie Betts C Eric Haase P Julio Ur?as SS J.P. Crawford P Zach Plesac OF Trent Grisham OF Jarred Kelenic,,Matt Olson,1B,23.81%,14
17,2684807525,kyle_becca44,0,79.8,C Wilson Ramos OF Charlie Blackmon 2B Jose Altuve 3B Manny Machado P Blake Snell OF Harold Ramirez SS J.P. Crawford 1B Yuli Gurriel OF Taylor Ward P Cristian Javier,,Yuli Gurriel,1B,23.81%,9
18,2684660680,wylieone,0,65.85,C Mart?n Maldonado OF Robbie Grossman P Andrew Heaney OF Mitch Haniger SS Carlos Correa 3B Ryan McMahon 1B Yuli Gurriel 2B Jake Cronenworth OF Kyle Tucker P Cristian Javier,,Jake Cronenworth,1B,23.81%,13
19,2684840553,xxxStrat9xxx,0,63.55,3B Kyle Seager P Andrew Heaney OF Mitch Haniger 2B Cesar Hernandez OF Mark Canha 1B Matt Olson P Julio Ur?as SS J.P. Crawford C Will Smith OF Trent Grisham,,Will Smith,C,23.81%,12
20,2683800137,cor3y721,0,57.55,3B Kyle Seager P Andrew Heaney OF Mitch Haniger SS Trevor Story C Eric Haase OF Franmil Reyes 1B Shohei Ohtani P Julio Ur?as OF Trent Grisham 2B Dylan Moore,,Cristian Javier,P,19.05%,21.9
21,2684835972,jenks444,0,53.9,P Andrew Heaney OF Mitch Haniger 3B Manny Machado C Austin Nola 1B Shohei Ohtani SS Amed Rosario 2B Jake Cronenworth P Zach Plesac OF Trent Grisham OF Josh Rojas,,Ha-Seong Kim,2B,19.05%,5
,,,,,,,Jarred Kelenic,OF,19.05%,7
,,,,,,,Kyle Seager,3B,14.29%,0
,,,,,,,Mark Canha,OF,14.29%,8
,,,,,,,Austin Nola,C,14.29%,3
,,,,,,,Chris Taylor,OF,14.29%,23
,,,,,,,Amed Rosario,SS,14.29%,8
,,,,,,,Garrett Hampson,2B,14.29%,0
,,,,,,,Kyle Lewis,OF,14.29%,0
,,,,,,,Mart?n Maldonado,C,9.52%,0
,,,,,,,Tommy Pham,OF,9.52%,4
,,,,,,,Wilson Ramos,C,9.52%,0
,,,,,,,Robbie Grossman,OF,9.52%,4
,,,,,,,Anthony Rendon,3B,9.52%,5
,,,,,,,Phil Gosselin,3B,9.52%,0
,,,,,,,Harold Castro,2B,9.52%,13
,,,,,,,Jeimer Candelario,3B,9.52%,25
,,,,,,,Austin Hedges,C,9.52%,2
,,,,,,,Alex Bregman,3B,9.52%,8
,,,,,,,Jared Walsh,1B,9.52%,0
,,,,,,,Taylor Ward,OF,9.52%,0
,,,,,,,Kyle Tucker,OF,9.52%,17
,,,,,,,Josh Naylor,1B,9.52%,17
,,,,,,,Dylan Moore,2B,9.52%,0
,,,,,,,Miguel Cabrera,1B,4.76%,5
,,,,,,,Michael Brantley,OF,4.76%,12
,,,,,,,Justin Upton,OF,4.76%,21
,,,,,,,Charlie Blackmon,OF,4.76%,7
,,,,,,,Jos? Iglesias,SS,4.76%,16
,,,,,,,C.J. Cron,1B,4.76%,13
,,,,,,,Trevor Story,SS,4.76%,0
,,,,,,,Jos? Ram?rez,3B,4.76%,18
,,,,,,,Harold Ramirez,OF,4.76%,4
,,,,,,,Ryan McMahon,3B,4.76%,2
,,,,,,,Spencer Turnbull,P,4.76%,51.05
,,,,,,,Ram?n Laureano,OF,4.76%,34
,,,,,,,Sam Haggerty,OF,4.76%,0
,,,,,,,Sean Murphy,C,4.76%,3
,,,,,,,Josh Rojas,OF,4.76%,0
,,,,,,,Corbin Martin,P,4.76%,12.45
,,,,,,,Gavin Lux,2B,4.76%,23
,,,,,,,Andrew Young,OF,4.76%,4
,,,,,,,Yordan Alvarez,OF,4.76%,9
