Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
27,2684646578,xxxStrat9xxx,0,74.95,P Brandon Woodruff P Lance Lynn 3B Kyle Seager OF Trent Grisham 2B Adam Frazier C Yadier Molina 1B Ji-Man Choi OF Austin Hays OF Adolis Garc?a SS J.P. Crawford,,Yo?n Moncada,3B,9.68%,11
28,2683851059,kevokin,0,74.5,P Lance Lynn P Julio Ur?as SS Tim Anderson 1B Trey Mancini C Yerm?n Mercedes OF Austin Hays OF Jorge Soler 3B Brian Anderson 2B Nick Madrigal OF Andrew Vaughn,,Teoscar Hern?ndez,OF,9.68%,15
29,2684528063,ElBenWardo,0,73.95,P Brandon Woodruff P Lance Lynn 1B Vladimir Guerrero Jr. OF Trent Grisham C Yadier Molina 3B Alec Bohm OF Adam Eaton OF Ryan Mountcastle 2B Nick Madrigal SS Kevin Newman,,Trent Grisham,OF,9.68%,0
29,2684619772,LilOisDro27,0,73.95,P Brandon Woodruff P Lance Lynn OF Bryce Harper 3B Yo?n Moncada SS Dansby Swanson C Yadier Molina 1B Nate Lowe OF Avisa?l Garc?a OF Od?bel Herrera 2B Andrew Young,,Dansby Swanson,SS,9.68%,0
31,2684483957,mikeindians,0,48.85,P Lance Lynn P Zach Plesac SS Tim Anderson 2B Whit Merrifield 1B Pete Alonso C Salvador Perez OF Pavin Smith 3B Jonathan Villar OF Andrew Young OF Khalil Lee,,Mike Zunino,C,9.68%,32
,,,,,,,Alec Bohm,3B,9.68%,12
,,,,,,,Adolis Garc?a,OF,9.68%,12
,,,,,,,Nick Madrigal,2B,9.68%,2
,,,,,,,Jake Lamb,1B,9.68%,18
,,,,,,,Andrew Vaughn,OF,9.68%,0
,,,,,,,Cristian Javier,P,6.45%,21.9
,,,,,,,Jameson Taillon,P,6.45%,2.95
,,,,,,,Luis Pati?o,P,6.45%,6.1
,,,,,,,Trea Turner,SS,6.45%,7
,,,,,,,Juan Soto,OF,6.45%,8
,,,,,,,Kris Bryant,OF,6.45%,10
,,,,,,,Alex Bregman,3B,6.45%,8
,,,,,,,Nolan Arenado,3B,6.45%,23
,,,,,,,Gary S?nchez,C,6.45%,9
,,,,,,,Pete Alonso,1B,6.45%,2
,,,,,,,Will Smith,C,6.45%,12
,,,,,,,Gio Urshela,SS,6.45%,11
,,,,,,,Rhys Hoskins,1B,6.45%,8
,,,,,,,Salvador Perez,C,6.45%,0
,,,,,,,Austin Nola,C,6.45%,3
,,,,,,,Randal Grichuk,OF,6.45%,23
,,,,,,,Jake Cronenworth,1B,6.45%,13
,,,,,,,Austin Riley,3B,6.45%,14
,,,,,,,Matt Duffy,3B,6.45%,7
,,,,,,,Jorge Soler,OF,6.45%,0
,,,,,,,Ryan Mountcastle,OF,6.45%,2
,,,,,,,Freddy Galvis,SS,6.45%,6
,,,,,,,Lorenzo Cain,OF,6.45%,3
,,,,,,,Matt Beaty,OF,6.45%,0
,,,,,,,Avisa?l Garc?a,OF,6.45%,0
,,,,,,,Yandy D?az,1B,6.45%,10
,,,,,,,Luis Arraez,2B,6.45%,5
,,,,,,,Tommy Pham,OF,6.45%,4
,,,,,,,Jarred Kelenic,OF,6.45%,7
,,,,,,,Brett Gardner,OF,6.45%,7
,,,,,,,Kevin Newman,SS,6.45%,8
,,,,,,,Manny Pi?a,C,6.45%,0
,,,,,,,Od?bel Herrera,OF,6.45%,8
,,,,,,,Christian Yelich,OF,6.45%,0
,,,,,,,Khalil Lee,OF,6.45%,0
,,,,,,,Spencer Turnbull,P,3.23%,51.05
,,,,,,,John Gant,P,3.23%,14.4
,,,,,,,Justin Dunn,P,3.23%,22.55
,,,,,,,Patrick Corbin,P,3.23%,7.25
,,,,,,,Aaron Judge,OF,3.23%,8
,,,,,,,Bo Bichette,SS,3.23%,11
,,,,,,,Max Muncy,1B,3.23%,9
,,,,,,,Whit Merrifield,2B,3.23%,4
,,,,,,,Trey Mancini,1B,3.23%,9
,,,,,,,Yuli Gurriel,1B,3.23%,9
,,,,,,,Francisco Lindor,SS,3.23%,10
,,,,,,,Chris Taylor,OF,3.23%,23
,,,,,,,Carlos Santana,1B,3.23%,4
,,,,,,,Andrew McCutchen,OF,3.23%,8
,,,,,,,Christian V?zquez,C,3.23%,2
,,,,,,,David Bote,2B,3.23%,21
,,,,,,,Paul Goldschmidt,1B,3.23%,0
,,,,,,,Franmil Reyes,OF,3.23%,7
,,,,,,,Cedric Mullins,OF,3.23%,5
,,,,,,,Kolten Wong,2B,3.23%,2
,,,,,,,Adam Duvall,OF,3.23%,2
,,,,,,,William Contreras,C,3.23%,2
,,,,,,,Matt Olson,1B,3.23%,14
,,,,,,,Kyle Schwarber,OF,3.23%,2
,,,,,,,Pavin Smith,OF,3.23%,0
,,,,,,,Mark Canha,OF,3.23%,8
,,,,,,,Nate Lowe,1B,3.23%,6
,,,,,,,Maikel Franco,3B,3.23%,0
,,,,,,,Isiah Kiner-Falefa,SS,3.23%,0
,,,,,,,Alex Verdugo,OF,3.23%,8
,,,,,,,Adam Eaton,OF,3.23%,2
,,,,,,,Bryan Reynolds,OF,3.23%,4
,,,,,,,Gavin Lux,2B,3.23%,23
,,,,,,,Andrew Benintendi,OF,3.23%,5
,,,,,,,Amed Rosario,SS,3.23%,8
,,,,,,,Kyle Lewis,OF,3.23%,0
,,,,,,,Willie Calhoun,OF,3.23%,5
,,,,,,,Brian Anderson,3B,3.23%,8
,,,,,,,J.P. Crawford,SS,3.23%,0
,,,,,,,Lourdes Gurriel Jr.,OF,3.23%,15
,,,,,,,Bobby Dalbec,1B,3.23%,2
,,,,,,,Brett Phillips,OF,3.23%,20
,,,,,,,Miguel And?jar,3B,3.23%,12
,,,,,,,Luis Ur?as,SS,3.23%,2
,,,,,,,Santiago Espinal,3B,3.23%,3
,,,,,,,Sam Haggerty,OF,3.23%,0
,,,,,,,Tim Locastro,OF,3.23%,0
,,,,,,,Pablo Reyes,3B,3.23%,3
,,,,,,,Jos? Peraza,2B,3.23%,5
,,,,,,,Nick Maton,SS,3.23%,9
,,,,,,,Taylor Ward,OF,3.23%,0
,,,,,,,Rob Refsnyder,OF,3.23%,0
,,,,,,,C.J. Cron,1B,3.23%,13
,,,,,,,Rougned Odor,2B,3.23%,8
,,,,,,,Albert Pujols,1B,3.23%,4
,,,,,,,Kris Bubic,P,3.23%,19.7
