"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Zac Gallen","ARI","1","1","3.04","5","5","1","1","0","0","0","26.2","115","18","10","9","1","14","0","2","1","0","32","19291"
"Jeffrey Springs","TBR","3","1","3.06","17","0","0","0","2","5","1","17.2","69","14","8","6","3","2","0","0","2","0","20","17677"
"Pablo Lopez","MIA","0","3","3.07","8","8","0","0","0","0","0","44.0","181","38","17","15","4","15","1","2","2","0","43","17085"
"Cristian Javier","HOU","3","1","3.08","7","7","0","0","0","0","0","38.0","151","23","13","13","4","14","0","3","2","0","44","17606"
"Jeurys Familia","NYM","1","0","3.09","13","0","0","0","1","2","0","11.2","56","15","5","4","0","6","0","0","0","0","13","5114"
"Lucas Luetge","NYY","2","0","3.10","14","0","0","0","0","1","0","20.1","79","17","7","7","3","3","0","0","2","0","19","8337"
"Lance McCullers Jr.","HOU","3","1","3.10","7","7","0","0","0","0","0","40.2","165","23","14","14","4","20","0","4","1","0","47","14120"
"Phillips Valdez","BOS","1","0","3.14","12","0","0","0","0","0","0","14.1","58","7","6","5","0","6","0","1","4","0","14","15605"
"Edwin Diaz","NYM","1","1","3.14","14","0","0","0","5","0","0","14.1","58","12","6","5","0","5","1","2","0","0","18","14710"
"Diego Castillo","TBR","0","2","3.14","14","0","0","0","7","1","2","14.1","58","10","5","5","2","6","1","0","1","0","20","17496"
"Trent Thornton","TOR","1","1","3.15","12","2","0","0","0","0","0","20.0","83","17","7","7","3","8","1","2","1","0","18","17948"
"Nick Pivetta","BOS","5","0","3.16","8","8","0","0","0","0","0","42.2","172","28","15","15","3","22","0","1","1","0","42","15454"
"Aaron Sanchez","SFG","1","1","3.18","6","6","0","0","0","0","0","28.1","122","24","10","10","2","10","0","4","0","1","24","11490"
"Tyler Matzek","ATL","0","2","3.18","18","0","0","0","0","6","0","17.0","72","11","7","6","2","10","0","0","3","0","27","10058"
"Josh Sborz","TEX","3","2","3.18","17","0","0","0","1","1","0","17.0","71","12","8","6","0","6","0","0","1","0","20","18323"
